개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3940000,202639400000800001,경기도 고양시청,경기도 고양시 덕양구 주교동 238(고양IC),,차량방범,2,900,110도 전면,30,201010,031-8075-2578,37.6591432,126.826716,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800002,경기도 고양시청,경기도 고양시 덕양구 신원동 671 신원마을2단지,,차량방범,4,900,110도 전면,30,201510,031-8075-2578,37.6664269,126.890212,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800003,경기도 고양시청,경기도 고양시 덕양구 원흥동 460-12 가시골교차로,,차량방범,3,900,110도 전면,30,201510,031-8075-2578,37.6487089,126.8671486,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800004,경기도 고양시청,경기도 고양시 덕양구 화정동 188-63(성라공원 입구),,차량방범,1,900,110도 전면,30,201210,031-8075-2578,37.6499438,126.8406166,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800005,경기도 고양시청,경기도 고양시 덕양구 지축동 13-11 (양주시계 인근)양주시 장흥면 북한산로778-6,,차량방범,1,900,110도 전면,30,201610,031-8075-2578,37.6920878,126.9649412,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800006,경기도 고양시청,경기도 고양시 덕양구 오금동 33-2 오금상촌공원,,차량방범,2,900,110도 전면,30,201510,031-8075-2578,37.6634197,126.9186686,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800007,경기도 고양시청,경기도 고양시 덕양구 오금동 44-18 오금천3교,,차량방범,2,900,110도 전면,30,201510,031-8075-2578,37.664659,126.919946,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800008,경기도 고양시청,경기도 고양시 덕양구 용두동 432-131(서오릉 대가음식점 앞),,차량방범,1,900,110도 전면,30,200910,031-8075-2578,37.6208943,126.9025046,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800009,경기도 고양시청,경기도 고양시 덕양구 은평구 진관동 74-20 (SK LPG 충전소앞),,차량방범,2,900,110도 전면,30,201610,031-8075-2578,37.6456382,126.9097636,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800010,경기도 고양시청,경기도 고양시 덕양구 원흥동 541-12(한양골프장 앞 교차로),,차량방범,1,900,110도 전면,30,202110,031-8075-2578,37.6488381,126.8644365,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800011,경기도 고양시청,경기도 고양시 덕양구 벽제동 13-8(목암미술관 건너편),,차량방범,1,900,110도 전면,30,200910,031-8075-2578,37.7176545,126.9202144,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800012,경기도 고양시청,경기도 고양시 덕양구 고양동 1074 (벽제삼거리),,차량방범,2,900,110도 전면,30,201610,031-8075-2578,37.7176076,126.9007610,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800013,경기도 고양시청,경기도 고양시 덕양구 고양동 1074 (벽제삼거리),,차량방범,1,900,110도 전면,30,202110,031-8075-2578,37.7175974,126.9013845,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800014,경기도 고양시청,경기도 고양시 덕양구 내유동 680-2(통일로자동차공업사 건너편),,차량방범,1,900,110도 전면,30,200910,031-8075-2578,37.7265292,126.842353,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800015,경기도 고양시청,경기도 고양시 덕양구 내곡동 298-7(대곡역 인근),,차량방범,1,900,110도 전면,30,200910,031-8075-2578,37.6357874,126.7981102,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800016,경기도 고양시청,경기도 고양시 덕양구 내곡동 188-12(백마주유소),,차량방범,1,900,110도 전면,30,200910,031-8075-2578,37.6357256,126.7968020,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800017,경기도 고양시청,경기도 고양시 덕양구 내곡동 190-36 (일산IC 진입방향),,차량방범,2,900,110도 전면,30,201610,031-8075-2578,37.6380233,126.7950926,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800018,경기도 고양시청,경기도 고양시 덕양구 내곡동 224-25,,차량방범,1,900,110도 전면,30,201610,031-8075-2578,37.6339382,126.7999173,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800019,경기도 고양시청,경기도 고양시 덕양구 행주내동 201-3(강매동 토끼굴앞),,차량방범,1,900,110도 전면,30,200910,031-8075-2578,37.6049010,126.8250157,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800020,경기도 고양시청,경기도 고양시 덕양구 행주외동 441-110(농협행주사업소 앞),,차량방범,1,900,110도 전면,30,200910,031-8075-2578,37.6086411,126.8201223,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800021,경기도 고양시청,경기도 고양시 덕양구 강매동 121-1(제2자유로 강매IC),,차량방범,1,900,110도 전면,30,201610,031-8075-2578,37.6085464,126.842616,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
3940000,202639400000800022,경기도 고양시청,"경기도 고양시 덕양구 덕은동 563-10(승전로,수색교 주유소 건너편)",,차량방범,1,900,110도 전면,30,200910,031-8075-2578,37.5956695,126.8776815,2026-01-22,I,2026-05-15 18:45:39,2026-01-22 22:53:32
