안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
수정태평3-A-8,01,05,은행나무공원,경기도 성남시 수정구 수정북로39번길 8-7 (태평동),경기도 성남시 수정구 태평3동 3580,37.4430758230,127.1341001750,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평3-A-9,01,05,서초등학교 정문,"경기도 성남시 수정구 제일로 244 (태평동, 경원대역동부센트레빌)",경기도 성남시 수정구 태평3동 7344,37.4477214207,127.1291019802,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,Y,성남시청,031-729-4562,20180426
수정태평3-A-10,01,05,.,경기도 성남시 수정구 수정북로 46-1 (태평동),경기도 성남시 수정구 태평3동 3642,37.4424714995,127.1346867266,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정태평3-A-11,01,05,경희유치원 주변,경기도 성남시 수정구 남문로 59 (태평동),경기도 성남시 수정구 태평3동 3919-1,37.4459147466,127.1334044922,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정태평3-A-12,01,05,이화유치원 주변,경기도 성남시 수정구 태평로48번길 11 (태평동),경기도 성남시 수정구 태평3동 4825,37.4481053424,127.1323460056,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정태평3-A-13,01,05,은서유치원 주변,경기도 성남시 수정구 탄리로95번길 7-17 (태평동),경기도 성남시 수정구 태평3동 3558,37.4435524846,127.1348807275,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정태평3-A-14,01,05,.,경기도 성남시 수정구 수정북로 34 (태평동),경기도 성남시 수정구 태평3동 3632,37.4420765139,127.1333752257,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정태평3-A-15,01,05,.,"경기도 성남시 수정구 남문로57번길 3 (태평동, 대양빌라)",경기도 성남시 수정구 태평3동 3921,37.4459963224,127.1329639082,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-10,01,05,.,경기도 성남시 수정구 시민로164번길 11 (신흥동),경기도 성남시 수정구 신흥3동 3561,37.4431364192,127.1440670828,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-11,01,05,.,"경기도 성남시 수정구 시민로150번길 5 (신흥동, 스카이캐슬)",경기도 성남시 수정구 신흥3동 3785-1,37.4417219042,127.1440192253,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-12,01,05,신흥제3어린이집,경기도 성남시 수정구 공원로349번길 8 (신흥동),경기도 성남시 수정구 신흥3동 2819,37.4434730628,127.1487912317,03,N,N,Y,경보등 + 경보음 + CCTV,2014,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-13,01,05,.,경기도 성남시 수정구 수정로228번길 24 (신흥동),경기도 성남시 수정구 신흥3동 3094,37.4439445425,127.1463738724,03,N,N,Y,경보등 + 경보음 + CCTV,2015,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-14,01,05,동산교회옆 계단,경기도 성남시 수정구 수정남로 149 (신흥동),경기도 성남시 수정구 신흥3동 3436-7,37.4438035899,127.1437067257,03,N,N,Y,경보등 + 경보음 + CCTV,2015,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-15,01,05,.,경기도 성남시 수정구 산성대로295번길 9-1 (신흥동),경기도 성남시 수정구 신흥3동 2562-1,37.4424998164,127.1489249437,03,N,N,Y,경보등 + 경보음 + CCTV,2016,20180510,Y,성남시청,031-729-4562,20180426
수정신흥3-A-16,01,05,.,경기도 성남시 수정구 산성대로269번길 24-18 (신흥동),경기도 성남시 수정구 신흥3동 2750,37.4429443238,127.1464623641,03,N,N,Y,경보등 + 경보음 + CCTV,2017,20180510,Y,성남시청,031-729-4562,20180426
산본1동 077,01,05,금정역지하보도출구,,경기도 군포시 산본동 1025,37.3735020000,126.9425460000,03,Y,N,N,경보등+경보음+CCTV,2022,20250613,Y,군포시청,031-390-0820,20250624
수정신흥3-A-17,01,05,.,경기도 성남시 수정구 산성대로283번길 14 (신흥동),경기도 성남시 수정구 신흥3동 2586-4,37.4424381372,127.1477948115,03,N,N,Y,경보등 + 경보음 + CCTV,2017,20180510,Y,성남시청,031-729-4562,20180426
수정태평1-A-1,01,01,숯골 어린이놀이터,,경기도 성남시 수정구 태평1동 6717,37.4430483343,127.1261560746,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-2,01,01,궁마을 어린이놀이터,,경기도 성남시 수정구 태평1동 6135,37.4424432067,127.1275449975,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-3,01,05,태평4어린이집 부근,경기도 성남시 수정구 성남대로1314번길 7 (태평동),경기도 성남시 수정구 태평1동 5127,37.4470832232,127.1276770044,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-4,01,05,경희어린이집 부근,경기도 성남시 수정구 수정로73번길 16-27 (태평동),경기도 성남시 수정구 태평1동 6481,37.4405765784,127.1290108812,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-5,01,05,부근계단,경기도 성남시 수정구 성남대로 1295 (태평동),경기도 성남시 수정구 태평1동 6595,37.4452735439,127.1264083371,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-6,01,05,태평중학교 부근,경기도 성남시 수정구 제일로 223 (태평동),경기도 성남시 수정구 태평1동 5140,37.4462712818,127.1286588169,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-7,01,05,부근,경기도 성남시 수정구 남문로11번길 7-2 (태평동),경기도 성남시 수정구 태평1동 5350,37.4449115401,127.1279333092,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-8,01,05,정아네순대국 부근,,경기도 성남시 수정구 태평1동 6439,37.4412147364,127.1304583446,03,N,N,Y,경보등 + 경보음 + CCTV,2010,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-9,01,05,삼성로얄맨션 앞,"경기도 성남시 수정구 성남대로1237번길 12-1 (태평동, 삼성로얄맨션)",경기도 성남시 수정구 태평1동 6939,37.4403003076,127.1261289676,03,N,N,Y,경보등 + 경보음 + CCTV,2012,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-10,01,05,.,경기도 성남시 수정구 제일로197번길 14 (태평동),경기도 성남시 수정구 태평1동 5849,37.4433877825,127.1289364974,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-11,01,05,.,경기도 성남시 수정구 남문로12번길 22 (태평동),경기도 성남시 수정구 태평1동 5878,37.4425497322,127.1290480931,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-12,01,05,.,"경기도 성남시 수정구 수정로35번길 26 (태평동, 삼영로즈빌)",경기도 성남시 수정구 태평1동 7196-2,37.4413559770,127.1246843035,03,N,N,Y,경보등 + 경보음 + CCTV,2013,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-13,01,05,.,"경기도 성남시 수정구 모란로 123 (태평동, 태평연립주택)",경기도 성남시 수정구 태평1동 7113,37.4442201866,127.1256268784,03,N,N,Y,경보등 + 경보음 + CCTV,2014,20180510,Y,성남시청,031-729-4562,20180426
수정태평1-A-14,01,05,.,경기도 성남시 수정구 수정로25번길 17-2 (태평동),경기도 성남시 수정구 태평1동 7260,37.4401397663,127.1245467351,03,N,N,Y,경보등 + 경보음 + CCTV,2015,20180510,Y,성남시청,031-729-4562,20180426
수정태평1-A-15,01,05,.,경기도 성남시 수정구 남문로4번길 12-2 (태평동),경기도 성남시 수정구 태평1동 6083-1,37.4429925542,127.1277945134,03,N,N,Y,경보등 + 경보음 + CCTV,2016,20180510,N,성남시청,031-729-4562,20180426
수정태평1-A-16,01,05,.,경기도 성남시 수정구 모란로 88 (태평동),경기도 성남시 수정구 태평1동 6928-4,37.4405796177,127.1261294256,03,N,N,Y,경보등 + 경보음 + CCTV,2016,20180510,Y,성남시청,031-729-4562,20180426
